Age:int,Attrition:string,BusinessTravel:string,DailyRate:int,Department:string,DistanceFromHome:int,Education:string,EducationField:string,EmployeeCount:int,EmployeeNumber:int,EnvironmentSatisfaction:string,Gender:string,HourlyRate:int,JobInvolvement:string,JobLevel:int,JobRole:string,JobSatisfaction:int,MaritalStatus:string,MonthlyIncome:int,MonthlyRate:int,NumCompaniesWorked:int,Over18:string,OverTime:string,PercentSalaryHike:int,PerformanceRating:string,RelationshipSatisfaction:string,StandardHours:int,StockOptionLevel:int,TotalWorkingYears:int,TrainingTimesLastYear:int,WorkLifeBalance:string,YearsAtCompany:int,YearsInCurrentRole:int,YearsSinceLastPromotion:int,YearsWithCurrManager:int
41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,1,Medium,Female,94,High,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,Excellent,Low,80,0,8,0,Bad,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,1,2,High,Male,61,Medium,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,Outstanding,Very High,80,1,10,3,Better,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,1,4,Very High,Male,92,Medium,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,Excellent,Medium,80,0,7,3,Better,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,1,5,Very High,Female,56,High,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,Excellent,High,80,0,8,3,Better,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,1,7,Low,Male,40,High,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,Excellent,Very High,80,1,6,3,Better,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,1,8,Very High,Male,79,High,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,Excellent,High,80,0,8,2,Good,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,1,10,High,Female,81,Very High,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,Outstanding,Low,80,3,12,3,Good,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,1,11,Very High,Male,67,High,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,Outstanding,Medium,80,1,1,2,Better,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,1,12,Very High,Male,44,Medium,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,Outstanding,Medium,80,0,10,2,Better,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,1,13,High,Male,94,High,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,Excellent,Medium,80,2,17,3,Good,7,7,7,7
35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,1,14,Low,Male,84,Very High,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,Excellent,High,80,1,6,5,Better,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,1,15,Very High,Female,49,Medium,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,Excellent,Very High,80,0,10,3,Better,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,1,16,Low,Male,31,High,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,Excellent,Very High,80,1,5,1,Good,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,1,18,Medium,Male,93,High,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,Excellent,High,80,1,3,2,Better,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,1,19,High,Male,50,Medium,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,Excellent,Medium,80,0,6,4,Better,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,1,20,Medium,Female,51,Very High,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,Excellent,High,80,1,10,1,Better,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,1,21,Low,Male,80,Very High,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,Excellent,Very High,80,2,7,5,Good,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,College,Medical,1,22,Very High,Male,96,Very High,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,Excellent,Medium,80,2,1,2,Good,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,1,23,Low,Female,78,Medium,4,Manager,4,Married,15427,22021,2,Y,No,16,Excellent,High,80,0,31,3,Better,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,1,24,Very High,Male,45,High,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,Excellent,High,80,0,6,3,Better,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,College,Other,1,26,Low,Female,96,Very High,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,Excellent,Very High,80,1,5,5,Good,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,27,High,Male,82,Medium,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,Outstanding,Medium,80,0,10,4,Better,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,1,28,Low,Female,53,High,3,Research Director,2,Single,11994,21293,0,Y,No,11,Excellent,High,80,0,13,4,Better,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,1,30,High,Male,96,High,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,Excellent,Very High,80,0,0,6,Better,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,1,31,Medium,Male,83,High,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,Excellent,High,80,0,8,2,Better,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,1,32,High,Female,58,High,5,Manager,3,Divorced,19094,10735,4,Y,No,11,Excellent,Very High,80,1,26,3,Good,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,1,33,Medium,Female,72,Low,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,Outstanding,Medium,80,0,10,5,Better,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,Master,Marketing,1,35,High,Male,48,High,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,Excellent,Very High,80,1,10,2,Better,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,1,36,Low,Female,42,Medium,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,Excellent,Very High,80,1,24,4,Better,22,6,5,17
