EmployeeNumber:int,EducationField:string,JobInvolvement:string,JobLevel:int,JobRole:string,BusinessTravel:string,Department:string,Attrition:string,DailyRate:int
1,Life Sciences,High,2,Sales Executive,Travel_Rarely,Sales,Yes,1102
2,Life Sciences,Medium,2,Research Scientist,Travel_Frequently,Research & Development,No,279
4,Other,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,1373
5,Life Sciences,High,1,Research Scientist,Travel_Frequently,Research & Development,No,1392
7,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,591
8,Life Sciences,High,1,Laboratory Technician,Travel_Frequently,Research & Development,No,1005
10,Medical,Very High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1324
11,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1358
12,Life Sciences,Medium,3,Manufacturing Director,Travel_Frequently,Research & Development,No,216
13,Medical,High,2,Healthcare Representative,Travel_Rarely,Research & Development,No,1299
14,Medical,Very High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,809
15,Life Sciences,Medium,2,Laboratory Technician,Travel_Rarely,Research & Development,No,153
16,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,670
18,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1346
19,Life Sciences,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,103
20,Life Sciences,Very High,3,Manufacturing Director,Travel_Rarely,Research & Development,No,1389
21,Life Sciences,Very High,1,Research Scientist,Travel_Rarely,Research & Development,No,334
22,Medical,Very High,1,Laboratory Technician,Non-Travel,Research & Development,No,1123
23,Life Sciences,Medium,4,Manager,Travel_Rarely,Sales,No,1219
24,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,371
26,Other,Very High,2,Manufacturing Director,Non-Travel,Research & Development,No,673
27,Life Sciences,Medium,1,Sales Representative,Travel_Rarely,Sales,Yes,1218
28,Life Sciences,High,3,Research Director,Travel_Rarely,Research & Development,No,419
30,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,391
31,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,Yes,699
32,Other,High,5,Manager,Travel_Rarely,Research & Development,No,1282
33,Life Sciences,Low,1,Research Scientist,Travel_Frequently,Research & Development,Yes,1125
35,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,691
36,Medical,Medium,3,Healthcare Representative,Travel_Rarely,Research & Development,No,477
38,Marketing,High,5,Manager,Travel_Rarely,Sales,No,705
39,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,924
40,Other,High,2,Healthcare Representative,Travel_Rarely,Research & Development,No,1459
41,Medical,Medium,1,Laboratory Technician,Travel_Rarely,Research & Development,No,125
42,Technical Degree,High,2,Sales Representative,Travel_Rarely,Sales,Yes,895
45,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,Yes,813
46,Medical,Very High,1,Research Scientist,Travel_Rarely,Research & Development,No,1273
47,Marketing,Medium,1,Sales Representative,Travel_Rarely,Sales,Yes,869
49,Marketing,High,1,Sales Representative,Travel_Rarely,Sales,No,890
51,Life Sciences,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,852
52,Life Sciences,Very High,2,Sales Executive,Travel_Frequently,Sales,No,1141
53,Other,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,464
54,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1240
55,Life Sciences,Low,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,1357
56,Life Sciences,High,3,Sales Executive,Travel_Frequently,Sales,No,994
57,Medical,High,2,Laboratory Technician,Travel_Frequently,Research & Development,No,721
58,Technical Degree,High,5,Research Director,Travel_Rarely,Research & Development,Yes,1360
60,Marketing,High,2,Sales Executive,Non-Travel,Sales,No,1065
61,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,408
62,Marketing,High,2,Sales Executive,Travel_Frequently,Sales,No,1211
63,Life Sciences,Very High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1229
64,Life Sciences,Medium,3,Laboratory Technician,Travel_Rarely,Research & Development,Yes,626
65,Technical Degree,High,1,Laboratory Technician,Travel_Rarely,Research & Development,Yes,1434
68,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,1488
70,Medical,Medium,3,Healthcare Representative,Non-Travel,Research & Development,No,1097
72,Marketing,Medium,2,Sales Executive,Travel_Rarely,Sales,No,1443
73,Life Sciences,High,3,Research Director,Travel_Frequently,Research & Development,No,515
74,Life Sciences,High,3,Sales Executive,Travel_Frequently,Sales,No,853
75,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1142
76,Life Sciences,High,2,Laboratory Technician,Travel_Rarely,Research & Development,No,655
77,Life Sciences,Medium,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1115
78,Medical,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,427
79,Life Sciences,High,2,Laboratory Technician,Travel_Frequently,Research & Development,No,653
80,Medical,Medium,5,Research Director,Travel_Rarely,Research & Development,No,989
81,Life Sciences,High,3,Sales Executive,Travel_Rarely,Sales,No,1435
83,Technical Degree,High,3,Healthcare Representative,Travel_Rarely,Research & Development,No,1223
84,Medical,High,4,Manager,Travel_Rarely,Research & Development,No,836
85,Life Sciences,Medium,2,Manufacturing Director,Travel_Frequently,Research & Development,No,1195
86,Life Sciences,High,3,Research Scientist,Travel_Rarely,Research & Development,No,1339
88,Medical,High,1,Research Scientist,Travel_Frequently,Research & Development,No,664
90,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,Yes,318
91,Life Sciences,Medium,2,Sales Executive,Travel_Frequently,Sales,No,1225
94,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1328
95,Medical,High,1,Research Scientist,Travel_Rarely,Research & Development,No,1082
96,Life Sciences,High,2,Research Scientist,Travel_Rarely,Research & Development,No,548
97,Life Sciences,Very High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,132
98,Life Sciences,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,746
100,Marketing,Medium,2,Sales Executive,Travel_Rarely,Sales,No,776
101,Other,High,3,Research Director,Travel_Rarely,Research & Development,No,193
102,Medical,High,3,Research Director,Travel_Rarely,Research & Development,No,397
103,Medical,High,2,Human Resources,Travel_Rarely,Human Resources,No,945
104,Life Sciences,Medium,2,Laboratory Technician,Travel_Rarely,Research & Development,No,852
105,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,1214
106,Life Sciences,High,3,Sales Executive,Travel_Rarely,Sales,No,111
107,Medical,Low,2,Research Scientist,Non-Travel,Research & Development,No,573
110,Medical,High,2,Manufacturing Director,Travel_Rarely,Research & Development,No,1153
112,Life Sciences,Low,3,Manufacturing Director,Travel_Rarely,Research & Development,No,1400
113,Technical Degree,High,1,Sales Representative,Travel_Rarely,Sales,No,541
116,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,432
117,Life Sciences,Medium,2,Healthcare Representative,Travel_Rarely,Research & Development,No,288
118,Medical,Medium,3,Sales Executive,Travel_Rarely,Sales,Yes,669
119,Life Sciences,Medium,4,Healthcare Representative,Travel_Frequently,Research & Development,No,530
120,Marketing,High,2,Sales Executive,Travel_Rarely,Sales,No,632
121,Medical,Medium,2,Sales Executive,Travel_Rarely,Sales,No,1334
124,Medical,Medium,3,Healthcare Representative,Travel_Frequently,Research & Development,No,638
125,Medical,High,2,Sales Executive,Travel_Rarely,Sales,No,1093
126,Technical Degree,High,3,Research Director,Travel_Rarely,Research & Development,No,1217
128,Other,High,2,Sales Executive,Travel_Rarely,Sales,No,1353
129,Medical,High,2,Sales Executive,Non-Travel,Sales,No,120
131,Medical,High,4,Sales Executive,Travel_Rarely,Sales,No,682
132,Medical,High,2,Laboratory Technician,Non-Travel,Research & Development,No,489
133,Human Resources,High,1,Human Resources,Travel_Rarely,Human Resources,Yes,807
134,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,No,827
137,Life Sciences,Medium,1,Laboratory Technician,Travel_Frequently,Research & Development,Yes,871
138,Other,High,2,Research Scientist,Travel_Rarely,Research & Development,No,665
139,Life Sciences,Medium,2,Healthcare Representative,Non-Travel,Research & Development,No,1040
140,Human Resources,Medium,5,Manager,Non-Travel,Human Resources,No,1420
141,Life Sciences,High,5,Research Director,Travel_Frequently,Research & Development,No,1115
142,Marketing,Medium,2,Sales Executive,Travel_Rarely,Sales,Yes,240
143,Medical,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,1280
144,Medical,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,534
145,Medical,Medium,3,Healthcare Representative,Travel_Frequently,Research & Development,No,1456
147,Life Sciences,Low,2,Laboratory Technician,Travel_Frequently,Research & Development,Yes,658
148,Human Resources,Very High,4,Manager,Non-Travel,Human Resources,No,142
150,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,1127
151,Life Sciences,Medium,2,Research Scientist,Travel_Rarely,Research & Development,No,1031
152,Life Sciences,High,3,Sales Executive,Travel_Rarely,Sales,No,1189
153,Medical,Medium,3,Manager,Travel_Rarely,Research & Development,No,1354
154,Technical Degree,High,3,Sales Executive,Travel_Frequently,Sales,No,1467
155,Life Sciences,High,1,Laboratory Technician,Travel_Rarely,Research & Development,No,922
158,Life Sciences,High,4,Manager,Travel_Frequently,Sales,No,394
159,Life Sciences,Low,1,Research Scientist,Travel_Frequently,Research & Development,No,1312
160,Marketing,High,2,Sales Executive,Non-Travel,Sales,No,750
161,Life Sciences,High,1,Research Scientist,Travel_Rarely,Research & Development,Yes,441
162,Life Sciences,High,5,Research Director,Travel_Rarely,Research & Development,No,684
163,Life Sciences,Low,2,Sales Executive,Travel_Rarely,Sales,Yes,249
164,Other,Medium,1,Research Scientist,Travel_Rarely,Research & Development,No,841
165,Medical,High,3,Healthcare Representative,Travel_Rarely,Research & Development,Yes,147
167,Marketing,High,1,Sales Representative,Travel_Rarely,Sales,Yes,528
